"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"94",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","effort",1,"directly_affected_questions"
"95",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","become_bilingual.1",1,NA
"96",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","family_languages",1,NA
"97",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","fun_studying_languages",4,"semi_affected_questions"
"98",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","boring_spanish_class",5,"semi_affected_questions"
"99",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","interesting_spanish_cultures",5,"semi_affected_questions"
"100",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","interesting_studying_languages",4,"semi_affected_questions"
"101",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","difficult_classroom_learning",4,"least_affected_questions"
"102",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","valuable",5,"most_interested_qs"
"103",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","no_accent",5,"most_interested_qs"
"104",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","important_spanish",3,"most_interested_qs"
"105",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","beautiful",3,"semi_affected_questions"
"106",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","codeswitch_rude",5,"most_interested_qs"
"107",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","smarter_two_languages",5,"semi_affected_questions"
"108",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","started_younger",3,"semi_affected_questions"
"109",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","become_bilingual",5,"directly_affected_questions"
"110",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","admire_multilinguals",5,"semi_affected_questions"
"111",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","like_langauges",5,"semi_affected_questions"
"112",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","interest_languages",5,"semi_affected_questions"
"113",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","like_spanish",4,"semi_affected_questions"
"114",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","like_hearing_spanish",4,"semi_affected_questions"
"115",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","communicating_spanish_speakers",5,"semi_affected_questions"
"116",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","excited_spanish_class",4,"least_affected_questions"
"117",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","outside_engagement",4,"least_affected_questions"
"118",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","spanish_favorite_class",3,"least_affected_questions"
"119",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","worldview",1,"semi_affected_questions"
